nom_dpto;nom_prov;nom_dist;clasificac;est_nombre;est_coduni;layer;X;X_1
AMAZONAS;BAGUA;ARAMANGO;CENTROS DE SALUD O CENTROS MEDICOS;ARAMANGO;00005053;Centro de Salud;9597269.878603;192188.212648
AMAZONAS;BAGUA;ARAMANGO;CENTROS DE SALUD O CENTROS MEDICOS;EL MUYO;00005056;Centro de Salud;9399883.430043;116922.628624
AMAZONAS;BAGUA;ARAMANGO;CENTROS DE SALUD O CENTROS MEDICOS;EL PORVENIR DE ARAMANGO;00005057;Centro de Salud;9392714.574469;120115.322430
AMAZONAS;BAGUA;BAGUA;CENTROS DE SALUD O CENTROS MEDICOS;BAGUA;00006998;Centro de Salud;9376367.049877;108593.963941
AMAZONAS;BAGUA;BAGUA;CENTROS DE SALUD O CENTROS MEDICOS;BAGUA MEDIKAL BREVETES S.R.L.;00027200;Centro de Salud;9375836.398726;108752.513320
AMAZONAS;BAGUA;BAGUA;CENTROS DE SALUD O CENTROS MEDICOS;CENTRO DE SALUD MENTAL COMUNITARIO BAGUA;00025390;Centro de Salud;9375979.026760;108529.743165
AMAZONAS;BAGUA;BAGUA;CENTROS DE SALUD O CENTROS MEDICOS;CENTRO DE SALUD MENTAL COMUNITARIO BAGUA;00027434;Centro de Salud;9375298.034755;109465.865434
AMAZONAS;BAGUA;BAGUA;CENTROS DE SALUD O CENTROS MEDICOS;CENTRO MEDICO HERSEL;00026829;Centro de Salud;9375967.144671;108396.671423
AMAZONAS;BAGUA;BAGUA;CENTROS DE SALUD O CENTROS MEDICOS;CL?ÏNICA AMAZONAS;00025701;Centro de Salud;9376335.742380;107085.172977
AMAZONAS;BAGUA;BAGUA;CENTROS DE SALUD O CENTROS MEDICOS;EMPRESA PRESTADORA DE SERVICIOS DE SALUD CONSULTORIOS M?ÎDICOS ESPECIALIZADOS PASTEUR S.R.L.;00020374;Centro de Salud;9375381.523142;108622.128557
AMAZONAS;BAGUA;BAGUA;CENTROS DE SALUD O CENTROS MEDICOS;SERVIMEDIC J&R;00028139;Centro de Salud;9375467.900098;108255.461949
AMAZONAS;BAGUA;BAGUA;PATOLOGIA CLINICA;LABORATORIO CLINICO BIOLAB;00027437;Centro de Salud;9376358.027318;107107.228532
AMAZONAS;BAGUA;BAGUA;PATOLOGIA CLINICA;LABORATORIO CL?ÏNICO SAN CAMILO;00027441;Centro de Salud;9375614.229446;108642.907605
AMAZONAS;BAGUA;BAGUA;PATOLOGIA CLINICA;LABORATORIO DE AN?¸LISIS CL?ÏNICOS ALEXANDER FLEMING;00032359;Centro de Salud;9375326.754638;108722.317457
AMAZONAS;BAGUA;BAGUA;PATOLOGIA CLINICA;LABORATORIO DE REFERENCIA REGIONAL EN SALUD PUBLICA BAGUA;00014477;Centro de Salud;9375560.066009;108842.949910
AMAZONAS;BAGUA;BAGUA;PATOLOGIA CLINICA;LABORATORIO IMPERLAB;00030949;Centro de Salud;9375448.779654;108754.862989
AMAZONAS;BAGUA;BAGUA;POLICLINICOS;MEDIC SALUD;00030744;Centro de Salud;9375371.188552;108744.238324
AMAZONAS;BAGUA;BAGUA;POLICLINICOS;Policl?°nico El Rosario;00023082;Centro de Salud;9376223.883379;108727.975263
AMAZONAS;BAGUA;BAGUA;POLICLINICOS;Policl?°nico San Juan;00027439;Centro de Salud;9375368.832390;108355.920522
AMAZONAS;BAGUA;COPALLIN;CENTROS DE SALUD O CENTROS MEDICOS;COPALLIN;00005063;Centro de Salud;9371543.852289;120582.505898
AMAZONAS;BAGUA;EL PARCO;CENTROS DE SALUD O CENTROS MEDICOS;EL PARCO;00005193;Centro de Salud;9377101.661667;114736.235121
AMAZONAS;BAGUA;IMAZA;CENTROS DE SALUD O CENTROS MEDICOS;CHIPE;00005071;Centro de Salud;9469396.855522;135144.213087
AMAZONAS;BAGUA;IMAZA;CENTROS DE SALUD O CENTROS MEDICOS;CHIRIACO;00005084;Centro de Salud;9428774.676316;135479.882781
AMAZONAS;BAGUA;IMAZA;CENTROS DE SALUD O CENTROS MEDICOS;IMAZA;00005070;Centro de Salud;9439940.416520;129937.832059
AMAZONAS;BAGUA;IMAZA;CENTROS DE SALUD O CENTROS MEDICOS;TUPAC AMARU I;00005075;Centro de Salud;9458092.471095;144349.689221
AMAZONAS;BAGUA;IMAZA;CENTROS DE SALUD O CENTROS MEDICOS;WAYAMPIAK;00005081;Centro de Salud;9460795.585071;109194.636515
AMAZONAS;BAGUA;LA PECA;CENTROS DE SALUD O CENTROS MEDICOS;LA PECA;00005049;Centro de Salud;9378999.788562;119229.481373
AMAZONAS;BONGARA;FLORIDA;CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO;POMACOCHAS;00004932;Centro de Salud;9355298.128924;171362.388480
AMAZONAS;BONGARA;JAZAN;CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO;PEDRO RUIZ GALLO;00004922;Centro de Salud;9342142.498141;170335.074966
